n,time,total_time,nodes,results
39,0.6420390605926514,6.876518487930298,46,"{'14': 26, '12': 31, '20': 18, '5': 8, '8': 29, '4': 22, '3': 36, '6': 10, '1': 35, '13': 4, '15': 15, '16': 2, '2': 3, '11': 24, '10': 12, '21': 30, '25': 19, '7': 27, '19': 34, '23': 39, '17': 16, '29': 13, '34': 21, '22': 1, '30': 37, '31': 23, '26': 32, '27': 20, '33': 28, '9': 6, '18': 7, '24': 5, '28': 38, '38': 14, '36': 9, '32': 17, '39': 11, '37': 33, '35': 25}"
40,1.931494951248169,8.808013439178467,82,"{'14': 39, '13': 14, '15': 20, '12': 33, '5': 7, '8': 36, '4': 24, '10': 23, '6': 25, '9': 9, '1': 38, '2': 19, '3': 11, '27': 10, '11': 29, '18': 34, '23': 35, '20': 12, '21': 1, '19': 22, '24': 18, '25': 4, '16': 27, '29': 17, '26': 8, '22': 28, '37': 26, '32': 30, '39': 15, '30': 40, '31': 16, '34': 2, '33': 5, '7': 6, '38': 31, '36': 32, '28': 37, '40': 21, '35': 13, '17': 3}"
41,1.5850722789764404,10.393085718154907,85,"{'14': 14, '12': 2, '13': 23, '11': 13, '20': 7, '16': 40, '8': 39, '18': 17, '25': 38, '6': 33, '5': 3, '22': 18, '10': 11, '26': 32, '35': 24, '31': 35, '21': 9, '32': 25, '28': 10, '30': 37, '27': 21, '34': 19, '24': 27, '23': 41, '2': 16, '19': 36, '36': 8, '33': 1, '41': 5, '40': 20, '29': 12, '38': 4, '17': 26, '9': 6, '15': 34, '3': 29, '4': 15, '37': 28, '39': 31, '1': 30, '7': 22}"
42,1.6666710376739502,12.059756755828857,64,"{'14': 13, '12': 32, '20': 15, '17': 17, '6': 22, '8': 5, '11': 41, '10': 8, '4': 39, '7': 34, '3': 26, '5': 19, '13': 35, '15': 6, '16': 1, '1': 18, '25': 36, '21': 28, '24': 33, '32': 21, '18': 4, '26': 20, '19': 12, '22': 14, '9': 42, '33': 37, '41': 23, '34': 3, '27': 40, '30': 38, '2': 30, '42': 29, '38': 2, '23': 24, '36': 9, '37': 25, '39': 16, '40': 10, '29': 31, '35': 7, '31': 27, '28': 11}"
43,13.922187089920044,25.9819438457489,637,"{'14': 13, '12': 42, '13': 28, '11': 5, '8': 16, '7': 39, '9': 19, '16': 18, '5': 31, '4': 40, '2': 35, '10': 30, '3': 22, '17': 38, '1': 32, '26': 9, '21': 11, '20': 23, '18': 27, '34': 4, '31': 37, '23': 8, '30': 43, '15': 6, '24': 41, '19': 7, '25': 14, '32': 10, '22': 34, '35': 15, '36': 12, '27': 2, '42': 24, '37': 21, '29': 1, '40': 36, '38': 33, '41': 20, '33': 26, '39': 25, '43': 17, '6': 3, '28': 29}"
44,1.9269428253173828,27.908886671066284,86,"{'14': 4, '12': 14, '17': 6, '13': 27, '16': 34, '21': 41, '20': 19, '22': 35, '18': 25, '19': 12, '24': 5, '26': 43, '10': 15, '3': 1, '15': 2, '23': 29, '8': 33, '1': 31, '5': 42, '7': 23, '4': 8, '2': 3, '9': 28, '11': 22, '31': 13, '33': 30, '27': 7, '39': 10, '25': 17, '34': 20, '38': 32, '32': 44, '28': 36, '30': 21, '36': 9, '6': 40, '40': 16, '37': 37, '35': 38, '29': 24, '42': 26, '44': 11, '41': 18, '43': 39}"
45,3.2597439289093018,31.168630599975586,94,"{'14': 39, '12': 14, '20': 42, '18': 37, '19': 10, '21': 6, '22': 26, '26': 44, '10': 11, '17': 30, '16': 23, '6': 34, '13': 1, '8': 7, '3': 13, '25': 41, '15': 8, '24': 36, '9': 29, '5': 5, '2': 17, '27': 9, '33': 25, '36': 31, '23': 12, '32': 18, '34': 43, '7': 15, '31': 28, '38': 4, '37': 24, '45': 35, '30': 33, '39': 45, '28': 2, '41': 16, '29': 40, '35': 19, '1': 27, '4': 21, '40': 38, '11': 32, '44': 20, '42': 3, '43': 22}"
46,6.321125745773315,37.4897563457489,220,"{'14': 18, '12': 11, '20': 14, '13': 33, '8': 1, '11': 22, '16': 2, '17': 7, '18': 27, '4': 34, '10': 43, '9': 30, '29': 36, '5': 17, '19': 41, '25': 3, '7': 23, '26': 9, '22': 4, '33': 46, '3': 40, '6': 25, '2': 10, '23': 38, '30': 6, '1': 28, '15': 12, '27': 15, '38': 44, '31': 26, '21': 31, '24': 16, '37': 37, '35': 20, '32': 5, '39': 8, '28': 42, '34': 39, '41': 21, '46': 35, '36': 32, '40': 19, '44': 45, '42': 29, '45': 13, '43': 24}"
47,1.8921189308166504,39.38187527656555,60,"{'14': 15, '12': 31, '20': 34, '25': 45, '27': 25, '13': 21, '24': 9, '26': 12, '16': 44, '19': 2, '28': 4, '15': 7, '32': 39, '22': 1, '18': 23, '5': 11, '35': 24, '21': 18, '30': 47, '34': 16, '31': 30, '29': 38, '33': 29, '6': 43, '8': 20, '9': 27, '23': 46, '17': 28, '36': 40, '2': 42, '7': 10, '38': 26, '3': 5, '1': 14, '4': 33, '37': 37, '11': 36, '41': 32, '42': 6, '39': 19, '47': 41, '46': 17, '10': 3, '40': 13, '43': 8, '44': 22, '45': 35}"
48,2.249859094619751,41.6317343711853,64,"{'14': 2, '13': 41, '15': 4, '18': 12, '12': 24, '20': 6, '17': 32, '19': 44, '23': 28, '11': 27, '28': 11, '21': 21, '3': 43, '16': 48, '29': 5, '4': 31, '9': 39, '25': 16, '31': 9, '6': 47, '34': 37, '8': 7, '1': 30, '26': 34, '10': 3, '22': 1, '5': 15, '30': 25, '41': 42, '40': 46, '32': 36, '35': 22, '38': 20, '39': 13, '44': 29, '45': 17, '33': 10, '47': 45, '36': 33, '37': 8, '48': 18, '43': 35, '24': 26, '46': 19, '27': 40, '42': 38, '2': 23, '7': 14}"
49,2.0138537883758545,43.64558815956116,54,"{'14': 21, '12': 32, '20': 17, '28': 14, '26': 26, '34': 19, '24': 6, '27': 1, '17': 34, '13': 12, '8': 23, '22': 24, '3': 36, '31': 45, '33': 49, '23': 48, '21': 2, '30': 39, '29': 9, '18': 40, '25': 31, '9': 4, '10': 44, '5': 28, '1': 46, '15': 25, '32': 43, '6': 10, '16': 8, '35': 29, '11': 30, '19': 15, '7': 42, '37': 20, '41': 18, '39': 47, '42': 13, '36': 41, '2': 5, '4': 16, '48': 37, '47': 3, '49': 11, '38': 7, '46': 33, '40': 38, '44': 22, '43': 27, '45': 35}"
50,2.5413079261779785,46.186896085739136,55,"{'50': 20, '36': 27, '40': 21, '45': 29, '33': 18, '28': 6, '26': 2, '27': 4, '31': 5, '38': 39, '39': 47, '37': 32, '32': 44, '35': 49, '34': 22, '42': 48, '44': 15, '49': 17, '24': 16, '23': 41, '30': 43, '22': 33, '17': 26, '19': 19, '29': 46, '25': 40, '20': 24, '41': 37, '21': 8, '16': 9, '14': 13, '6': 11, '18': 50, '43': 3, '47': 45, '8': 31, '10': 35, '2': 12, '9': 38, '13': 7, '46': 25, '5': 36, '11': 1, '4': 28, '1': 23, '7': 14, '3': 30, '15': 34, '48': 10, '12': 42}"
51,5.454996824264526,51.64189291000366,113,"{'50': 30, '36': 27, '40': 15, '45': 9, '41': 17, '30': 11, '38': 4, '42': 25, '48': 34, '35': 12, '37': 24, '26': 51, '32': 2, '33': 37, '31': 45, '27': 5, '29': 39, '44': 1, '34': 16, '28': 47, '39': 46, '19': 3, '23': 21, '25': 28, '22': 49, '21': 6, '12': 14, '16': 48, '51': 40, '47': 19, '46': 41, '24': 35, '43': 8, '15': 33, '49': 23, '11': 7, '10': 36, '3': 32, '17': 22, '6': 50, '13': 44, '8': 29, '14': 26, '2': 10, '9': 43, '1': 18, '18': 31, '7': 13, '20': 42, '4': 20, '5': 38}"
52,3.602943181991577,55.24483609199524,69,"{'50': 46, '45': 36, '52': 33, '44': 26, '46': 29, '36': 22, '34': 14, '30': 32, '37': 2, '35': 24, '32': 9, '40': 6, '21': 13, '38': 51, '42': 30, '51': 35, '27': 28, '43': 40, '28': 43, '24': 23, '39': 1, '23': 41, '33': 44, '20': 25, '25': 31, '22': 7, '26': 42, '29': 49, '19': 17, '18': 47, '31': 4, '14': 39, '16': 10, '47': 5, '41': 8, '48': 18, '49': 20, '17': 21, '7': 15, '11': 52, '15': 45, '1': 11, '8': 3, '13': 48, '2': 19, '9': 16, '10': 34, '3': 12, '12': 38, '4': 50, '6': 27, '5': 37}"
53,84.01006388664246,139.2548999786377,1734,"{'50': 1, '14': 31, '36': 50, '34': 3, '35': 35, '33': 34, '26': 24, '29': 17, '40': 19, '30': 10, '32': 22, '38': 20, '31': 7, '42': 45, '39': 13, '37': 41, '22': 44, '28': 11, '25': 32, '23': 8, '24': 37, '45': 18, '12': 5, '11': 38, '21': 15, '19': 53, '15': 27, '9': 46, '3': 12, '16': 49, '13': 51, '43': 42, '49': 40, '20': 36, '47': 52, '17': 9, '10': 25, '7': 2, '18': 4, '44': 16, '27': 47, '6': 14, '48': 23, '53': 30, '51': 29, '46': 33, '52': 48, '5': 28, '2': 21, '1': 43, '41': 6, '4': 39, '8': 26}"
54,2.72334885597229,141.97824883460999,56,"{'50': 7, '45': 1, '52': 13, '47': 50, '49': 14, '41': 21, '54': 54, '46': 6, '44': 11, '37': 36, '43': 45, '40': 26, '42': 18, '48': 29, '35': 44, '36': 8, '39': 12, '38': 30, '24': 25, '29': 3, '28': 22, '17': 4, '30': 51, '16': 9, '31': 27, '20': 49, '23': 38, '26': 16, '19': 37, '27': 40, '15': 20, '25': 2, '10': 43, '14': 34, '33': 47, '32': 15, '34': 42, '18': 46, '9': 28, '12': 24, '5': 35, '3': 10, '13': 17, '11': 48, '4': 39, '2': 52, '51': 33, '8': 31, '7': 5, '21': 53, '22': 19, '53': 41, '1': 23, '6': 32}"
55,2.9050190448760986,144.88326787948608,55,"{'50': 21, '36': 54, '37': 9, '35': 4, '45': 46, '41': 14, '38': 29, '39': 36, '44': 44, '40': 3, '33': 15, '48': 22, '43': 33, '30': 6, '20': 40, '28': 50, '47': 35, '29': 34, '23': 51, '55': 47, '26': 24, '32': 48, '25': 27, '18': 31, '42': 41, '31': 55, '21': 8, '22': 11, '53': 28, '51': 18, '34': 43, '14': 10, '17': 25, '24': 17, '11': 5, '3': 37, '27': 30, '15': 32, '49': 13, '10': 49, '7': 38, '13': 45, '19': 2, '16': 52, '46': 53, '5': 26, '2': 12, '1': 7, '9': 23, '6': 1, '52': 20, '8': 19, '54': 39, '4': 16, '12': 42}"
56,3.764158010482788,148.64742588996887,67,"{'50': 9, '45': 30, '52': 26, '47': 49, '42': 48, '40': 24, '44': 43, '43': 46, '48': 34, '51': 52, '34': 22, '49': 27, '54': 31, '31': 3, '33': 38, '39': 1, '36': 56, '30': 37, '46': 35, '27': 6, '38': 55, '28': 40, '26': 19, '32': 23, '29': 33, '25': 44, '17': 11, '24': 42, '14': 12, '22': 17, '41': 16, '16': 45, '35': 8, '37': 7, '53': 20, '20': 50, '55': 47, '23': 13, '15': 36, '12': 51, '11': 21, '10': 25, '3': 28, '19': 2, '56': 4, '4': 54, '18': 29, '21': 53, '7': 15, '6': 32, '2': 39, '9': 18, '1': 14, '13': 10, '8': 41, '5': 5}"
57,12.461114883422852,161.10854077339172,186,"{'50': 9, '45': 8, '52': 6, '57': 33, '42': 53, '40': 1, '56': 45, '51': 19, '55': 49, '54': 32, '44': 27, '48': 28, '53': 52, '47': 38, '46': 41, '36': 18, '49': 23, '39': 42, '37': 46, '33': 14, '35': 39, '31': 15, '43': 5, '41': 10, '28': 24, '30': 35, '34': 11, '26': 54, '29': 21, '25': 12, '21': 7, '17': 2, '27': 48, '15': 25, '24': 3, '32': 56, '38': 4, '11': 57, '20': 43, '8': 47, '19': 20, '23': 37, '3': 22, '12': 55, '7': 36, '2': 29, '22': 34, '6': 51, '13': 31, '14': 50, '1': 16, '18': 44, '16': 13, '5': 30, '10': 26, '4': 17, '9': 40}"
58,5.603814125061035,166.71235489845276,81,"{'50': 38, '36': 14, '40': 24, '45': 2, '44': 35, '34': 15, '42': 40, '30': 44, '41': 21, '32': 52, '28': 43, '25': 32, '35': 34, '38': 13, '31': 8, '26': 51, '29': 56, '27': 48, '46': 50, '39': 58, '43': 11, '48': 12, '33': 57, '21': 7, '24': 41, '22': 45, '49': 42, '56': 3, '55': 17, '18': 27, '54': 9, '37': 49, '17': 39, '6': 16, '16': 22, '19': 4, '13': 55, '14': 1, '10': 26, '5': 53, '51': 30, '12': 6, '11': 19, '8': 5, '2': 46, '23': 18, '15': 20, '9': 10, '4': 33, '20': 23, '57': 47, '47': 36, '53': 25, '7': 37, '1': 54, '52': 28, '58': 29, '3': 31}"
59,23.085399866104126,189.79775476455688,313,"{'50': 4, '52': 38, '47': 48, '48': 27, '51': 43, '53': 19, '36': 1, '49': 44, '41': 58, '42': 56, '45': 26, '58': 20, '44': 8, '39': 46, '40': 34, '43': 59, '38': 41, '37': 12, '57': 50, '54': 7, '56': 54, '35': 5, '59': 3, '23': 45, '55': 57, '32': 37, '46': 2, '30': 14, '31': 42, '22': 21, '20': 10, '26': 51, '24': 52, '14': 22, '25': 16, '28': 6, '33': 33, '13': 9, '21': 30, '15': 49, '12': 55, '27': 31, '19': 40, '17': 53, '29': 18, '34': 11, '8': 23, '2': 15, '9': 29, '4': 35, '11': 17, '7': 25, '18': 28, '5': 24, '1': 13, '16': 39, '10': 47, '3': 32, '6': 36}"
